id,template,imageUrl,title,address,lowestprice,avgprice,latitude,longitude,showType,avgscore,comments,historyCouponCount,backCateName,areaname,tag,cate,recentScreen,abstracts,dangleAbstracts,titleTags,iUrl,deals,posdescr,ct_poi,trace,landmarkDistance,hasAds,adsClickUrl,adsShowUrl,distance,cityId,city,phone,full
115917786,pcfood,http://p0.meituan.net/w.h/dpmerchantpic/7379ca1d38c91392360c955b90f9d0ee606663.png,Yestar,,0.0,1727.0,31.1977,121.4079,beauty,5.0,2378,171606,,/,[],"[22, 20630]",None,[],None,[],None,None,None,None,None,None,False,,,,0,,,False
194331175,pcfood,http://p1.meituan.net/w.h/dpmerchantpic/1a6d71f5e4980d9c97e66ef1cfe1bcba620607.png,,,0.0,5560.0,31.2292,121.4703,beauty,5.0,248,60694,,/,[],"[22, 20630]",None,[],None,[],None,None,None,None,None,None,False,,,,0,,,False
533665684,pcfood,http://p0.meituan.net/w.h/dpmerchantpic/8481a554b9fb033c303e1161ed0ae600842138.png,-VIP,,0.0,8878.0,31.2394,121.5305,beauty,5.0,779,37710,,,[],"[22, 20630]",None,[],None,[],None,None,None,None,None,None,False,,,,0,,,False
191774958,pcfood,https://p0.meituan.net/w.h/dpmerchantpic/71e1b76085794687ea5a8337ab9bb0a6720555.jpg,,,0.0,777.0,30.9328,121.4711,beauty,5.0,1609,38616,,,[],"[22, 20630]",None,[],None,[],None,None,None,None,None,None,False,,,,0,,,False
671641058,pcfood,http://p1.meituan.net/w.h/dpmerchantpic/e79e92c32f08f6ced3a41e8c052aae93104648.jpg,REAL,,0.0,1686.0,31.1678,121.4244,beauty,5.0,417,36280,,/,[],"[22, 20630]",None,[],None,[],None,None,None,None,None,None,False,,,,0,,,False
1634032640,pcfood,http://p1.meituan.net/w.h/dpmerchantpic/95659cb558b7b89c97125fde71311536654128.png,,,0.0,642.0,30.9161,121.4875,beauty,5.0,1575,33112,,,[],"[22, 20630]",None,[],None,[],None,None,None,None,None,None,False,,,,0,,,False
161818011,pcfood,http://p0.meituan.net/w.h/dpmerchantpic/23795de27b6d4e663611736d0885c5a8933938.png,,,0.0,10200.0,31.23,121.4945,beauty,5.0,215,27914,,,[],"[22, 20630]",None,[],None,[],None,None,None,None,None,None,False,,,,0,,,False
71200246,pcfood,http://p0.meituan.net/w.h/ugcpic/d1365a41d0053949086b16eeace7cbb3,,,1.0,12798.0,31.1882,121.4169,beauty,5.0,543,26214,,,[],"[22, 20630]",None,"[{'text': '', 'backgroundColor': None, 'borderColor': None, 'fontColor': None, 'icon': 'https://p0.meituan.net/travelcube/66e6ab0f49b056f98d2b2a3f21567c731145.png', 'message': '1/71'}]",None,[],None,"[{'id': 778089433, 'title': '71', 'subtitleA': None, 'subtitleB': None, 'subtitleC': None, 'price': 1.0, 'value': 892.0, 'sales': 0.0, 'iUrl': '', 'stid': None, 'trace': None, 'tag': {'promotion': []}}]",None,None,None,None,False,,,,0,,,False
901246850,pcfood,http://p0.meituan.net/w.h/dpmerchantpic/664dd84c34d2f3b69586c36f515a6b08432917.png,MAKER,,0.0,1532.0,31.236,121.3201,beauty,5.0,472,23856,,,[],"[22, 20630]",None,[],None,[],None,None,None,None,None,None,False,,,,0,,,False
187545223,pcfood,http://p0.meituan.net/w.h/dpmerchantpic/e2b73a0122a28f3cd2764165c4e0ff20572739.png,,,0.0,2705.0,31.2701,121.3899,beauty,5.0,341,19728,,,[],"[22, 20630]",None,[],None,[],None,None,None,None,None,None,False,,,,0,,,False
